"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL492491";"FENVALERATE";"BELMARK|FENVALERATE|PHENVALERATE|PYDRIN|S-5602|SD-43775|SUMICIDIN|TIRADE|WL-43775";"S-5602|SD-43775|WL-43775";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1"
"CHEMBL2103777";"THIOPHANATE";"NSC-170810|THIOPHANATE";"NSC-170810";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC"
"CHEMBL1868702";"GESTRINONE";"A 46 745|A-46-745|A-46745|DIMETRIOSE|GESTRINONE|R 2323|R-2323|RU 2323|RU-2323";"A 46 745|A-46-745|A-46745|R 2323|R-2323|RU 2323|RU-2323";"4.0";"";"'-estr-; -rinone'";"1978";"estrogens; cardiotonics (amrinone type)";"'-estr-(-estr-); -rinone(-rinone)'";"";"G03XA02";"G03XA - Antigonadotropins and similar agents";"G03X - OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM";"G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM";"G - GENITO URINARY SYSTEM AND SEX HORMONES";"Progestin";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC"
"CHEMBL2104213";"DESMENINOL";"DESMENINOL|METHIONINE HYDROXY ANALOG";"";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CSCCC(O)C(=O)O"
"CHEMBL1904952";"QUAZODINE";"MJ 1988|MJ-1988|QUAZODINE";"MJ 1988|MJ-1988";"-1.0";"";"";"1968";"";"";"";"";"";"";"";"";"Cardiotonic; Bronchodilator";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCc1ncnc2cc(OC)c(OC)cc12"
"CHEMBL2105174";"NICTINDOLE";"L 8027|L-8027|NICTINDOLE";"L 8027|L-8027";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC(C)c1[nH]c2ccccc2c1C(=O)c1cccnc1"
"CHEMBL2104678";"AZINTAMIDE";"AZINTAMIDE|AZINTHIAMIDE|COLERIN|NSC-291837|ST 9067|ST-9067";"NSC-291837|ST 9067|ST-9067";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCN(CC)C(=O)CSc1ccc(Cl)nn1"
"CHEMBL2106893";"METHOXYPHEDRINE";"4-METHOXYMETHCATHINONE|J6.703B|METHEDRONE|METHOPHEDRINE|METHOXYPHEDRINE";"J6.703B";"-1.0";"";"'-drine'";"";"sympathomimetics";"'-drine(-drine)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CNC(C)C(=O)c1ccc(OC)cc1"
"CHEMBL1256351";"FENCLONINE";"CP-10,188|CP-10188|FENCLONINE|NSC-77370|P-CHLOROPHENYLALANINE, DL-";"CP-10,188|CP-10188|NSC-77370";"-1.0";"";"";"1967";"";"";"";"";"";"";"";"";"Serotonin Inhibitor";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"NC(Cc1ccc(Cl)cc1)C(=O)O"
"CHEMBL1256871";"SOBUZOXANE";"SOBUZOXANE";"";"-1.0";"";"'-oxane'";"";"alpha-adrenoceptor antagonists (benzodioxane derivatives)";"'-oxane(-oxane)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O"
"CHEMBL220190";"ASCORBYL PALMITATE";"6-O-PALMITOYLASCORBIC ACID|ASCORBYL MONOPALMITATE|ASCORBYL PALMITATE|CETYL ASCORBATE|E-304|E304|INS NO.304|INS-304|L-ASCORBIC ACID 6-PALMITATE|L-ASCORBIC ACID, 6-HEXADECANOATE|NSC-402451";"NSC-402451";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"Pharmaceutic Aid (antioxidant)";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O"
"CHEMBL178862";"ANETHOLTRITHION";"ANETHOLE TRITHIONE|ANETHOLTRITHION|Anethole Trithione|Anetholtrithion|OP-2113|OP2113";"OP-2113|OP2113";"-1.0";"";"";"";"";"";"";"A16AX02";"A16AX - Various alimentary tract and metabolism products";"A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS";"A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS";"A - ALIMENTARY TRACT AND METABOLISM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COc1ccc(-c2cc(=S)ss2)cc1"
"CHEMBL303062";"SECURININE";"(-)-SECURININE|L-SECURININE|NSC-107413|SECURINAN-11-ONE|SECURININ|SECURININE|Securinine";"NSC-107413";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31"
"CHEMBL414";"CARZENIDE";"4-SULFAMOLYBENZOIC ACID|CARZENIDE|Carzenide|NSC-22976|P-SULFAMOYLBENZOIC ACID|Para-Carboxybenzenesulfonamide (Weak Carbonic Anhydrase Inhibitor)";"NSC-22976";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"NS(=O)(=O)c1ccc(C(=O)O)cc1"
"CHEMBL458337";"OXYMATRINE";"OXYMATRINE";"";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"O=C1CCC[C@@H]2[C@H]3CCC[N+]4([O-])CCC[C@@H](CN12)[C@@H]34"
"CHEMBL2107644";"NAMIROTENE";"NAMIROTENE";"";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"C/C(=C\c1ccc(C(=O)O)cc1)c1ccc(C(C)C)s1"
"CHEMBL2106128";"BUQUITERINE";"BUQUITERINE";"";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COc1cc2c(cc1OC)-c1cc(NC(C)(C)C)nc(=O)n1CC2"
"CHEMBL64706";"ORBOFIBAN";"ORBOFIBAN|SC-57099B";"SC-57099B";"-1.0";"";"'-fiban'";"1996";"fibrinogen receptor antagonists (glycoprotein IIb/IIIa receptor antagonists)";"'-fiban(-fiban)'";"";"";"";"";"";"";"Platelet Aggregation Inhibitor; Antithrombotic";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CCOC(=O)CCNC(=O)N[C@H]1CCN(c2ccc(C(=N)N)cc2)C1=O"
"CHEMBL462222";"PENTAMUSTINE";"NCNU|NEPTAMUSTINE|PENTAMUSTINE|Salisburystin";"NCNU";"-1.0";"";"'-mustine'";"1980";"antineoplastics (chloroethylamine derivatives)";"'-mustine(-mustine)'";"";"";"";"";"";"";"Antineoplastic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC(C)(C)CNC(=O)N(CCCl)N=O"
"CHEMBL1908363";"ZANOTERONE";"WIN 49,596|WIN-49596|ZANOTERONE";"WIN 49,596|WIN-49596";"-1.0";"";"'-terone'";"1992";"antiandrogens";"'-terone(-terone)'";"";"";"";"";"";"";"Anti-Androgen";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4Cc5nn(S(C)(=O)=O)cc5C[C@]4(C)[C@H]3CC[C@@]21C"
"CHEMBL167911";"DICHLORVOS";"Atgard|DDVP|DICHLORVOS|Equigard|Equigel|NSC-6738|SD 1750|SD-1750|TASK Tabs";"DDVP|NSC-6738|SD 1750|SD-1750";"-1.0";"";"";"1972";"";"";"";"";"";"";"";"";"Anthelmintic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COP(=O)(OC)OC=C(Cl)Cl"
"CHEMBL2107028";"REVIZINONE";"REVIZINONE";"";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CN(C(=O)CO/N=C(\c1ccccc1)c1ccc2c(c1)CN1CC(=O)NC1=N2)C1CCCCC1"
"CHEMBL1516410";"ECADOTRIL";"BAY Y 7432|BAY-Y-7432|BP 1.02|BP-1.02|ECADOTRIL|RACECADOTRIL (S)-FORM|S-049|S.049|SINORPHAN";"BAY Y 7432|BAY-Y-7432|BP 1.02|BP-1.02|S-049|S.049";"-1.0";"";"'-tril'";"1995";"endopeptidase inhibitors";"'-tril(-tril)'";"";"";"";"";"";"";"Antihypertensive";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC(=O)SC[C@@H](Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1"
"CHEMBL2110853";"HETERONIUM";"HETERONIUM CATION|HETERONIUM ION";"";"-1.0";"";"'-ium; -onium'";"1963";"quaternary ammonium derivatives; quaternary ammonium derivatives";"'-ium(-ium); -onium(-onium)'";"";"";"";"";"";"";"Anticholinergic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)c2cccs2)C1"
"CHEMBL2152712";"LY-3031207";"LY-3031207|LY3031207";"LY-3031207|LY3031207";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC(C)(C)C(=O)NCc1ccc(Cl)c(C(=O)Nc2ncc[nH]2)c1"
"CHEMBL2107288";"TROLAMINE SALICYLATE";"NEO HELIOPAN TS|NEOTAN W|TEA-SALICYLATE|TROLAMINE SALICYLATE";"";"-1.0";"";"'sal-'";"";"anti-inflammatory agents (salicylic acid derivatives)";"'sal-(sal-)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Unknown";"0";"0";"0";"0";"0";"Unknown";"O=C(O)c1ccccc1O.OCCN(CCO)CCO"
"CHEMBL1188530";"FLUDOXOPONE";"FLUDOXOPONE";"";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=c1oc(CCN2CCN(c3ccccc3)CC2)c(-c2ccc(F)cc2)o1"
"CHEMBL2111006";"PRETAMAZIUM";"";"";"-1.0";"";"'-ium'";"";"quaternary ammonium derivatives";"'-ium(-ium)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC[n+]1c(-c2ccc(-c3ccccc3)cc2)csc1/C=C/c1ccc(N2CCCC2)cc1"
"CHEMBL2110939";"GLICETANILE";"GLICETANILE";"";"-1.0";"";"'gli-'";"1977";"antidiabetics";"'gli-(gli-)'";"";"";"";"";"";"";"Antidiabetic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COc1ccc(Cl)cc1NC(=O)Cc1ccc(S(=O)(=O)Nc2ncc(CC(C)C)cn2)cc1"
"CHEMBL2104167";"CLOXESTRADIOL";"CLOXESTRADIOL";"";"-1.0";"";"'-estr-'";"";"estrogens";"'-estr-(-estr-)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(O)C(Cl)(Cl)Cl"
"CHEMBL2107494";"TENOSAL";"TENOSAL";"";"-1.0";"";"'-sal'";"";"anti-inflammatory agents (salicylic acid derivatives)";"'-sal(-sal)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(Oc1ccccc1C(=O)O)c1cccs1"
"CHEMBL4298143";"DUOCARMAZINE";"DUOCARMAZINE|SYD980|VC-SECO-DUBA";"SYD980";"-1.0";"";"";"2018";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"Cc1cccc2c(OC(=O)N(CCOCCO)CCN(C)C(=O)OCc3ccc(NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@@H](NC(=O)OCCOCCN4C(=O)C=CC4=O)C(C)C)cc3)cc3c(c12)[C@H](CCl)CN3C(=O)c1cn2cc(NC(=O)c3ccc(O)cc3)ccc2n1"
